Report Date,As of Date,State,Confirmed Cases,Source
,#date,#adm1+name,#affected+infected+confirmed+fatalities,#source+url
,11/07/2020,Blue Nile,30,
,11/07/2020,Central Darfur,6,
,11/07/2020,East Darfur,21,
,11/07/2020,Gedaref,279,
,11/07/2020,Kassala,233,
,11/07/2020,Khartoum,"10,225",
,11/07/2020,North Darfur,147,
,11/07/2020,North Kordofan,208,
,11/07/2020,Northern,386,
,11/07/2020,Red Sea,396,
,11/07/2020,River Nile,444,
,11/07/2020,Sennar,248,
,11/07/2020,South Darfur,39,
,11/07/2020,South Kordofan,17,
,11/07/2020,West Darfur,36,
,11/07/2020,West Kordofan,69,
,11/07/2020,White Nile,198,
,11/03/2020,Abyei PCA,0,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,11/03/2020,Al Jazirah,"1,151",
,11/03/2020,Blue Nile,30,
,11/03/2020,Central Darfur,6,
,11/03/2020,East Darfur,21,
,11/03/2020,Gedaref,277,
,11/03/2020,Kassala,231,
,11/03/2020,Khartoum,"10,053",
,11/03/2020,North Darfur,147,
,11/03/2020,North Kordofan,208,
,11/03/2020,Northern,385,
,11/03/2020,Red Sea,392,
,11/03/2020,River Nile,440,
,11/03/2020,Sennar,248,
,11/03/2020,South Darfur,39,
,11/03/2020,South Kordofan,16,
,11/03/2020,West Darfur,36,
,11/03/2020,West Kordofan,69,
,11/03/2020,White Nile,194,
,11/02/2020,Abyei PCA,0,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,11/02/2020,Al Jazirah,"1,147",
,11/02/2020,Blue Nile,30,
,11/02/2020,Central Darfur,6,
,11/02/2020,East Darfur,21,
,11/02/2020,Gedaref,277,
,11/02/2020,Kassala,230,
,11/02/2020,Khartoum,"10,022",
,11/02/2020,North Darfur,147,
,11/02/2020,North Kordofan,208,
,11/02/2020,Northern,385,
,11/02/2020,Red Sea,392,
,11/02/2020,River Nile,440,
,11/02/2020,Sennar,248,
,11/02/2020,South Darfur,39,
,11/02/2020,South Kordofan,16,
,11/02/2020,West Darfur,36,
,11/02/2020,West Kordofan,69,
,11/02/2020,White Nile,192,
,10/30/2020,Abyei PCA,0,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,10/30/2020,Al Jazirah,"1,145",
,10/30/2020,Blue Nile,30,
,10/30/2020,Central Darfur,6,
,10/30/2020,East Darfur,21,
,10/30/2020,Gedaref,275,
,10/30/2020,Kassala,230,
,10/30/2020,Khartoum,"9,942",
,10/30/2020,North Darfur,147,
,10/30/2020,North Kordofan,208,
,10/30/2020,Northern,385,
,10/30/2020,Red Sea,392,
,10/30/2020,River Nile,439,
,10/30/2020,Sennar,247,
,10/30/2020,South Darfur,39,
,10/30/2020,South Kordofan,16,
,10/30/2020,West Darfur,36,
,10/30/2020,West Kordofan,69,
,10/30/2020,White Nile,192,
,10/26/2020,Abyei PCA,0,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,10/26/2020,Al Jazirah,"1,142",
,10/26/2020,Blue Nile,30,
,10/26/2020,Central Darfur,6,
,10/26/2020,East Darfur,21,
,10/26/2020,Gedaref,274,
,10/26/2020,Kassala,229,
,10/26/2020,Khartoum,"9,899",
,10/26/2020,North Darfur,146,
,10/26/2020,North Kordofan,206,
,10/26/2020,Northern,385,
,10/26/2020,Red Sea,391,
,10/26/2020,River Nile,439,
,10/26/2020,Sennar,247,
,10/26/2020,South Darfur,39,
,10/26/2020,South Kordofan,16,
,10/26/2020,West Darfur,35,
,10/26/2020,West Kordofan,69,
,10/26/2020,White Nile,191,
,10/25/2020,Abyei PCA,0,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,10/25/2020,Al Jazirah,"1,140",
,10/25/2020,Blue Nile,30,
,10/25/2020,Central Darfur,6,
,10/25/2020,East Darfur,21,
,10/25/2020,Gedaref,274,
,10/25/2020,Kassala,229,
,10/25/2020,Khartoum,"9,886",
,10/25/2020,North Darfur,146,
,10/25/2020,North Kordofan,205,
,10/25/2020,Northern,385,
,10/25/2020,Red Sea,391,
,10/25/2020,River Nile,438,
,10/25/2020,Sennar,247,
,10/25/2020,South Darfur,39,
,10/25/2020,South Kordofan,15,
,10/25/2020,West Darfur,35,
,10/25/2020,West Kordofan,69,
,10/25/2020,White Nile,191,
,10/23/2020,Abyei PCA,0,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,10/23/2020,Al Jazirah,"1,139",
,10/23/2020,Blue Nile,30,
,10/23/2020,Central Darfur,6,
,10/23/2020,East Darfur,21,
,10/23/2020,Gedaref,274,
,10/23/2020,Kassala,229,
,10/23/2020,Khartoum,"9,882",
,10/23/2020,North Darfur,146,
,10/23/2020,North Kordofan,205,
,10/23/2020,Northern,385,
,10/23/2020,Red Sea,391,
,10/23/2020,River Nile,438,
,10/23/2020,Sennar,247,
,10/23/2020,South Darfur,39,
,10/23/2020,South Kordofan,15,
,10/23/2020,West Darfur,35,
,10/23/2020,West Kordofan,69,
,10/23/2020,White Nile,191,
10/11/2020,10/11/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,Al Jazirah,"1,137",https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,Blue Nile,30,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,Gedaref,274,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,Kassala,228,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,Khartoum,"9,841",https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,North Darfur,146,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,North Kordofan,203,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,Northern,385,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,Red Sea,391,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,River Nile,438,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
